name,lon,lat
Lao People's Democratic Republic,102.495496,19.85627
Latvia,24.603189,56.879635
Lebanon,35.862285,33.854721
Lesotho,28.233608,-29.609988
Liberia,-9.429499000000002,6.428055
Libya,17.228331,26.3351
Lithuania,23.881275,55.169438
Luxembourg,6.129582999999999,49.815273
Madagascar,46.869107,-18.766947
Malawi,34.301525,-13.254308
Malaysia,101.975766,4.210484
Maldives,73.22068,3.202778
Mali,-3.996166,17.570692
Malta,14.375416,35.937496
Marshall Islands,171.184478,7.131474
Mauritania,-10.940835,21.00789
Mauritius,57.55215200000001,-20.348404
Mexico,-102.552784,23.634501
Mongolia,103.846656,46.862496
Montenegro,19.374389999999998,42.708678
Morocco,-7.092619999999999,31.791702
Mozambique,35.529562,-18.665695
Myanmar,95.955974,21.916221
Namibia,18.49041,-22.95764
Nauru,166.931503,-0.522778
Nepal,84.12400799999999,28.394857
Netherlands,5.291265999999999,52.132633
New Zealand,174.885971,-40.900557
Nicaragua,-85.207229,12.865416
Niger,8.081666,17.607789
Nigeria,8.675277,9.081999
North Macedonia,21.745275,41.608635
Norway,8.468945999999999,60.47202399999999
Olympic Athletes from Russia,NA,NA
Oman,55.975413,21.4735329
Pakistan,69.34511599999999,30.375321
Palau,134.58252,7.514979999999999
Panama,-80.782127,8.537981
Papua New Guinea,143.95555,-6.314992999999999
Paraguay,-58.443832,-23.442503
People's Republic of China,104.195397,35.86166
Peru,-75.015152,-9.189967
Philippines,121.774017,12.879721
Poland,19.145136,51.919438
Portugal,-8.224454,39.39987199999999
Puerto Rico,-66.590149,18.220833
Qatar,51.183884,25.354826
Republic of Korea,127.766922,35.907757
Republic of Moldova,28.369885,47.411631
ROC,-95.62497230000001,36.2699718
Romania,24.96676,45.943161
Russian Federation,105.318756,61.52401
Rwanda,29.873888,-1.940278
Saint Kitts and Nevis,-62.782998,17.357822
Saint Lucia,-60.978893,13.909444
Saint Vincent and the Grenadines,-61.287228,12.984305
Samoa,-172.104629,-13.759029
San Marino,12.457777,43.94236
Sao Tome and Principe,6.613080999999999,0.18636
Saudi Arabia,45.079162,23.885942
Senegal,-14.452362,14.497401
Serbia,21.005859,44.016521
Seychelles,55.491977,-4.679574
Sierra Leone,-11.779889,8.460555
Singapore,103.819836,1.352083
Slovakia,19.699024,48.669026
Slovenia,14.995463,46.151241
Solomon Islands,160.156194,-9.64571
South Africa,22.937506,-30.559482
Spain,-3.74922,40.46366700000001
Sri Lanka,80.77179699999999,7.873053999999999
Sudan,30.217636,12.862807
Suriname,-56.027783,3.919305
Swaziland,31.465866,-26.522503
Sweden,18.643501,60.12816100000001
Switzerland,8.227511999999999,46.818188
Tajikistan,71.276093,38.861034
Thailand,100.992541,15.870032
The Former Yugoslav Republic of Macedonia,21.745275,41.608635
Togo,0.824782,8.619543
Tonga,-175.198242,-21.178986
Trinidad and Tobago,-61.222503,10.691803
Tunisia,9.537499,33.886917
Turkey,35.243322,38.963745
Turkmenistan,59.556278,38.969719
Tuvalu,177.64933,-7.109534999999999
Uganda,32.290275,1.373333
Ukraine,31.1655799,48.379433
United Arab Emirates,53.847818,23.424076
United Republic of Tanzania,34.888822,-6.369028
United States of America,-95.712891,37.09024
Uruguay,-55.765835,-32.522779
Uzbekistan,64.585262,41.377491
Vanuatu,166.959158,-15.376706
Vietnam,108.277199,14.058324
Zambia,27.849332,-13.133897
Zimbabwe,29.154857,-19.015438
